rank,output_version,file,entity_count_acc,type_seq_acc,type_dist_sim,avg_score_formatted
1,output_ckpt_2/output_eval_B2_10k,00902693_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
2,output_ckpt_2/output_eval_B1_2048,00900387_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
3,output_ckpt_2/output_eval_B1_2048,00900730_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
4,output_ckpt_2/output_eval_B1_2048,00900903_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
5,output_ckpt_2/output_eval_B1_2048,00901173_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
6,output_ckpt_2/output_eval_B1_2048,00901552_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
7,output_ckpt_2/output_eval_B1_2048,00902084_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
8,output_ckpt_2/output_eval_B1_2048,00902323_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
9,output_ckpt_2/output_eval_B1_2048,00902594_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
10,output_ckpt_2/output_eval_B1_2048,00903270_00001_repaired.json,1.0000,1.0000,1.0000,1.0000
